key,term,label,suggested,coder,coded_at,note
gepris:5260840,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:5260884,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:5326050,kulturtechnik,unsure,,claude-agent,2026-06-26,
gepris:13820559,kulturtechnik,unsure,,claude-agent,2026-06-26,
gepris:27379524,kulturtechnik,unsure,,claude-agent,2026-06-26,
gepris:33278164,kulturtechnik,unsure,,claude-agent,2026-06-26,
gepris:56727009,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:46753651,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:163335415,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:189646571,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:196894119,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:207821997,kulturtechnik,unsure,,claude-agent,2026-06-26,
gepris:225488694,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:194453117,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:240802547,kulturtechnik,unsure,,claude-agent,2026-06-26,
gepris:241279897,kulturtechnik,unsure,,claude-agent,2026-06-26,
gepris:234148775,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:237764916,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:231315392,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:216621636,kulturtechnik,unsure,,claude-agent,2026-06-26,
gepris:269856417,kulturtechnik,unsure,,claude-agent,2026-06-26,
gepris:275945555,kulturtechnik,unsure,,claude-agent,2026-06-26,
gepris:270289388,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:265443773,kulturtechnik,unsure,,claude-agent,2026-06-26,
gepris:287075175,kulturtechnik,unsure,,claude-agent,2026-06-26,
gepris:390568112,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:394480672,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:397435816,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:411210008,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:390648296,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:464574160,kulturtechnik,trope,,claude-agent,2026-06-26,
gepris:498777834,kulturtechnik,unsure,,claude-agent,2026-06-26,
gepris:536927166,kulturtechnik,unsure,,claude-agent,2026-06-26,
gepris:573304787,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W2593100572,kulturtechnik,unsure,,claude-agent,2026-06-26,
openalex:W3127453855,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W4238034372,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W2588410459,kulturtechnik,unsure,,claude-agent,2026-06-26,
openalex:W652826692,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W604871700,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W54375979,kulturtechnik,homonym,,claude-agent,2026-06-26,
openalex:W4237736295,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W196784717,kulturtechnik,homonym,,claude-agent,2026-06-26,
openalex:W165300886,kulturtechnik,homonym,,claude-agent,2026-06-26,
openalex:W3161113158,kulturtechnik,unsure,,claude-agent,2026-06-26,
openalex:W2484303778,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W104039993,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W2500967587,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W4387627928,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W2921277293,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W82349855,kulturtechnik,unsure,,claude-agent,2026-06-26,
openalex:W2283399955,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W2982989691,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W2911004781,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W186121145,kulturtechnik,unsure,,claude-agent,2026-06-26,
openalex:W1551947230,kulturtechnik,homonym,,claude-agent,2026-06-26,
openalex:W4229828570,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W3095789987,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W4248979756,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W565188902,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W2048598767,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W2014563456,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W4247419794,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W4206082912,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W2127352818,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W2948383446,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W1805791914,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W4245233434,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W3151713482,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W4234809924,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W2200705415,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W3123742490,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W2802850408,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W3043457764,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W3127973776,kulturtechnik,homonym,,claude-agent,2026-06-26,
openalex:W2551255897,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W3169994431,kulturtechnik,homonym,,claude-agent,2026-06-26,
openalex:W4226397979,kulturtechnik,unsure,,claude-agent,2026-06-26,
openalex:W4385640847,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W4320493788,kulturtechnik,unsure,,claude-agent,2026-06-26,
openalex:W4362311340,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W4321505762,kulturtechnik,trope,,claude-agent,2026-06-26,
openalex:W4403076735,kulturtechnik,homonym,,claude-agent,2026-06-26,
openalex:W4402726599,kulturtechnik,homonym,,claude-agent,2026-06-26,
openalex:W4410237015,kulturtechnik,trope,,claude-agent,2026-06-26,
